"os","device_type","device_score","device_cpu"," Native视频发流切片时长 "
"iOS","iPhone12,1",90,,3573620.933333
"Android","dt15pa",72,,3061642.45
"iOS","iPad7,11",84,,2481627.45
"iOS","iPad11,6",88,,2451505.85
"Windows","HP 240R 14 inch G9 Notebook PC",50,"13th Gen Intel(R) Core(TM) i5-1335U",2401461.583333
"iOS","iPad12,1",90,,2106134.666667
"Android","dby-w09",89,,2092693.666667
"Android","btk-w00",89,,1967822.033333
"iOS","iPad7,5",84,,1920766.25
"iOS","iPhone13,2",92,,1802892
"Android","talih-pd1",72,,1795607.266667
"Android","talih-pd2",75,,1661454.4
"iOS","iPhone14,5",94,,1496779.766667
"Android","talih-pd2p",75,,1389646.55
"Android","xtw31",71,,1361212.7
"Windows","21JKA01MCD",76,"13th Gen Intel(R) Core(TM) i5-1340P",1307711.366667
"Android","tgr-w10",71,,1305040.183333
"iOS","iPad11,3",88,,1070469.1
"Android","2211133c",87,"qualcomm technologies, inc kona-iot qcom",943599.8
"iOS","iPhone11,8",88,,910538.716667
"Android","btkr-w00",71,,823067.4
"Android","talih-pd3u",75,,815809.433333
"iOS","iPad13,16",92,,805663.716667
"Android","dbr-w10",93,,793878.883333
"Android","tc02a",69,,747377
"Android","dby2-w00",89,,730436.233333
"Windows","83CH",50,"12th Gen Intel(R) Core(TM) i5-1235U",720836.733333
"Android","scm-w09",81,,710619.783333
"Android","bah3-w59",84,,706001.183333
"Android","mrr-w29",93,,704865.316667
"Android","talih-pd2a",75,,663155.033333
"Android","s6",89,,651693.783333
"Android","ags6-w00",89,,643883.666667
"iOS","iPad13,4",92,,642684.466667
"Android","21051182c",89,,631683.066667
"Android","scmr-w09",84,,627951.016667
"Android","mro-w00",71,,588414.816667
"iOS","iPad11,1",88,,587676.366667
"Android","rk3588s_su30pro_native",71,,579230.816667
"iOS","iPad8,9",88,,579197.95
"Android","bky-w20",71,,578849.183333
"Android","dmg-w00",69,,558865.8
"Android","ctg3",71,,518979.933333
"iOS","iPhone10,2",86,,509004.466667
"Android","xd-sdb21-2201",75,,503904.7
"Android","21a900",72,,499140.016667
"iOS","iPhone11,6",88,,497071.366667
"Android","ags5-w00",89,,466887.333333
"Android","mrx-w09",84,,460465.766667
"Android","xd-sdd15-2201",75,,457436.433333
"iOS","iPad6,11",82,,453738.25
"iOS","iPhone14,2",94,,443921.25
"Android","23073rpbfc",89,,440376.033333
"Android","b2",71,", rk30board",437110.9
"iOS","iPad13,1",92,,435070.516667
"Windows","HP ProBook 440 G8 Notebook PC",76,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz",434454.7
"Android","bah3-w59",81,,430031.066667
"Android","xta11",72,,427188.666667
"Android","mrx-w29",84,,425355.8
"iOS","iPhone10,3",86,,411356.566667
"Android","b2",85,"rockchip rk3588  rk30board",410505.516667
"iOS","iPhone16,2",98,,409280.516667
"Android","t1",89,,405050.616667
"iOS","iPhone13,4",92,,403767.816667
"iOS","iPad14,3",94,,401471.266667
"Android","xdh-25-b3",73,,384534.633333
"Android","xpt21",72,,381608.2
"Android","talih-bk1",75,,378800
"Android","xpt11",72,,378288.2
"iOS","iPad5,3",70,,371647.633333
"Android","ums9620_se50_s30pro",71,,363125.483333
"Android","2405crpfdc",89,,352756.983333
"Android","m2105k81ac",93,,350883.333333
"Android","wgr-w09",88,,349818.383333
"Android","hey-w09",89,,346236.05
"Android","bky-w10",71,,345103.583333
"Android","a127cs",72,,340071.016667
"Android","talih-pd3s",75,,338974.316667
"Android","got-w09",89,,334859.65
"Android","bah3-w09",84,,318933.116667
"iOS","iPhone15,2",96,,309794.1
"Android","pce-w30",84,,308759.216667
