device_score	os	 Native视频发流切片时长 											
-1	HarmonyOS	1037.1				[-1.60)	[60.70)	[70.75)	[75.80)	[80.85)	[85.90)	[90.95)	[95.100)
-1	Android	544842357.2			视频用量	573834502.9	730147948.9	3008901799	4224249031	3110443928	1663115508	352471075.2	205652330.5
13	Android	141.566667			占比	0.041351913	0.052616241	0.216828799	0.304409683	0.224146172	0.119848158	0.025399925	0.014819808
15	Android	259.466667					<=70	>=70	>=75	>=80	>=85	>=90	>=95
30	Android	416.766667					0.093968154	0.905452544	0.688623746	0.384214063	0.160067891	0.040219733	0.014819808
34	Android	129.833333											
40	Android	87.6											
41	Android	398.516667											
44	Android	277.366667											
45	Android	8.25											
46	Android	15553738.53											
48	Android	2255.083333											
49	Android	0.7											
50	Android	6526.2											
51	Android	6312983.35											
52	Android	1754.45											
53	Android	526815.5667											
54	Android	662686.5333											
55	Android	10749.36667											
56	Android	3932186.333											
57	Android	342710.45											
58	Android	1490148.583											
59	Android	147871.1833											
60	Android	8037845.95											
61	Android	52163.8											
62	Android	9484592.7											
63	Android	5276970.3											
64	Android	18812268.05											
65	Android	47428613.35											
66	Android	202242145.3											
67	Android	144841133											
68	Android	85641560.1											
69	Android	216368502.3											
70	Android	176488510.6											
71	Android	520778882.9											
72	Android	415470179.9											
73	Android	595340904											
74	Android	1300823321											
75	Android	1911787231											
76	Android	782245459.7											
77	Android	582795206.5											
78	Android	631925225.5											
79	Android	315495908.3											
80	Android	538884077											
81	Android	808575256.8											
82	Android	611325068.1											
83	Android	794923919.9											
84	Android	356735606.6											
85	Android	497223254.5											
86	Android	352005676.4											
87	Android	193537293.7											
88	Android	213384010.2											
89	Android	406965272.8											
90	Android	55196886.27											
91	Android	35908277.63											
92	Android	94530715.25											
93	Android	64768978.92											
94	Android	102066217.1											
95	Android	77733855.75											
96	Android	112977498.4											
97	Android	14402135.17											
98	Android	127555.5167											
99	Android	355721											
100	Android	55564.58333											
													
	sum 	13876855007											
