"os","device_type","device_score","device_cpu"," Native视频发流切片时长 "
"iOS","iPhone14,5",94,,6308342.033333
"iOS","iPhone15,4",96,,5714824.683333
"iOS","iPhone12,1",90,,5209611.316667
"iOS","iPhone14,7",94,,4530614.8
"iOS","iPhone17,3",100,,4046107.733333
"iOS","iPhone17,2",100,,3215569.033333
"iOS","iPhone16,2",98,,3178884.166667
"iOS","iPhone14,3",94,,2818867.066667
"iOS","iPhone13,2",92,,2666286.233333
"iOS","iPhone17,1",100,,2615083.933333
"iOS","iPhone15,3",96,,2566025.683333
"iOS","iPhone15,2",96,,2188300.916667
"iOS","iPhone16,1",98,,2123542.566667
"iOS","iPhone13,4",92,,2025812.933333
"Android","sm-s156v",78,"mediatek mt6835  mt6835",1957173.616667
"iOS","iPhone11,8",88,,1747807.883333
"Android","moto g22",75,"helio p35",1717873.283333
"iOS","iPhone14,2",94,,1578972.616667
"iOS","iPhone13,3",92,,1444020
"iOS","iPhone12,5",90,,1240219.5
"Android","infinix x6525",71,"unisoc t606",1220457.4
"iOS","iPhone18,2",-1,,1196595.616667
"Android","sm-s928b",96,"qualcomm 8 Gen 3",1192187.833333
"iOS","iPhone17,5",100,,1161701.516667
"iOS","iPhone18,3",-1,,1135098.666667
"iOS","iPhone17,4",100,,1127965.266667
"Android","tecno bg6",71,"unisoc t606",1083037.716667
"iOS","iPhone18,1",-1,,1075948.416667
"Android","infinix x6525",65,,1021135.083333
"iOS","iPhone14,8",94,,1013420.266667
"Android","tecno kl4",76,"spreadtrum t615  ums9230_kl4_go",990387.083333
"iOS","iPhone12,8",90,,911796.383333
"iOS","iPhone15,5",96,,892806.316667
"Android","moto g - 2025",79,"mediatek mt6835  mt6835",881713.833333
"Android","2409brn2ca",75,"helio p65",860020.65
"Android","rmx3834",73,"unisoc t612",833488.5
"Android","25028rn03a",76,"spreadtrum ums9230e  serenity",829764.683333
"Android","v2111",75,"helio p35",819396.45
"iOS","iPhone12,3",90,,787696.283333
"iOS","iPhone14,6",94,,754657.583333
"Android","v2111",73,"MT6765V/CB, mt6765",741386.783333
"Android","tecno kl4",65,,740867.033333
"Windows","15U50P-KP50ML",76,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz",740063.883333
"Android","cph2467",83,"qualcomm 695",738804.583333
"Android","rmx3760",74,"unisoc t612",726358.916667
"Android","tecno bg6",65,,715914.183333
"Android","cph2269",73,"MT6765G, mt6765",714540.233333
"Android","cph2591",74,"helio p65",700257.233333
"Android","sm-a556e",88,"exynos 1480",697077.1
"Android","sm-s918b",95,"qualcomm 8 Gen 2",670690
"Android","cph2381",83,"qualcomm 695",665464.65
"Android","23106rn0da",75,"helio p65",664600.833333
"Android","rmx3710",75,"helio p65",645252.55
"Android","infinix x6532",74,"helio p65",639382.966667
"Android","24117rn76g",78,"helio g99",623094.683333
"Android","moto g play - 2024",82,"qualcomm 680",618519.05
"Android","sm-a356e",85,"exynos 1380",610865.383333
"Android","tecno ki7",80,"mediatek mt6769h mt6769h mt6769",596678.75
"Windows","950XGK",76,"Intel(R) Core(TM) Ultra 5 125H",595645.883333
"Android","cph2269",75,"helio p35",588759
"Android","sm-s938b",94,"qti sm8750  qcom",587793.9
"Android","23053rn02a",75,"helio p65",584920.95
"Android","tecno km4",76,"spreadtrum ums9230e  ums9230_km4_go",578657.766667
"Android","sm-a065f",74,"helio p65",573689.733333
"Android","infinix x6725",76,"spreadtrum ums9230e  ums9230_x6725_go",570839.566667
"iOS","iPhone13,1",92,,569506.366667
"Android","vivo 1906",76,"qualcomm 439",568436.383333
"Android","v2204",75,"helio p35",568094.616667
"Android","2404arn45a",75,"helio p65",534952.733333
"Android","infinix x6528",72,"unisoc t606",529693.183333
"Android","cph2641",79,"qualcomm 662",527397.666667
"Android","cph2667",81,"mediatek mt6835  mt6835",526114.983333
"Android","sm-a546e",85,"exynos 1380",522492.45
"Android","sm-a165f",77,"helio g99",521014.833333
"Android","sm-a055f",74,"helio p65",518015.333333
"Android","v2420",81,"mediatek mt6835  mt6835",513047.85
"MAC","MacBookPro18,1",89,,512407.95
"iOS","iPhone11,6",88,,501367.133333
"iOS","iPhone15,4",-1,,501079.4
"Android","sm-s135dl",75,"helio p35",500032.783333
"iOS","iPhone14,5",-1,,498699.1
"Android","23117ra68g",78,"helio g99",477996.883333
"Android","sm-a156e",81,"mediatek mt6835  mt6835",476864.6
"Android","cph2269",73,,475289.333333
"Android","moto g85 5g",83,"qualcomm 695",459088.116667
"Android","rmx3933",73,"unisoc t612",452921.15
"Android","v2430",73,"unisoc t612",450244.3
"Android","v2437",82,"mediatek mt6878  mt6878",447027.616667
"Android","23129raa4g",81,"qualcomm 680",444284.883333
"Android","infinix x688b",73,"MT6765G, mt6765",440996.4
"Android","m2004j19c",74,"helio p65",440750.016667
"Android","moto g15",74,"helio p65",440475.483333
"Android","cph2641",86,,438711.2
"Android","rmx3830",73,"unisoc t612",428925.466667
"Android","motorola edge 50 fusion",85,"qualcomm 7s Gen 2",424142.383333
"Android","24116raccg",78,"helio g99",420466.2
"Android","cph2665",81,"mediatek mt6835  mt6835",420215.583333
"Android","sm-a166p",81,"mediatek mt6835  mt6835",418696.4
"Android","sm-a156u",78,"mediatek mt6835  mt6835",412225.183333
"iOS","iPad12,1",90,,411421.716667
"Android","v2427",88,"qualcomm 7 Gen 3",410857.05
"Android","2409brn2cl",74,"helio p65",406922.9
"iOS","iPhone14,7",-1,,403909.966667
"iOS","iPhone10,1",86,,398059.6
"Android","n159v",82,"qualcomm 680",393849.516667
"Android","v2120",73,"MT6765V/CB, mt6765",391333.333333
"Android","v2043",73,"MT6765V/CB, mt6765",391010.883333
"Android","vivo 1906",82,"Qualcomm 439",389183.05
"Android","sm-s911b",95,"qualcomm 8 Gen 2",388378.6
"Android","sm-a165f",78,"helio g99",385085.616667
"Android","cph2477",75,"helio p35",381940.7
"Android","cph2591",69,,381795.666667
"Android","23129rn51x",74,"helio p35",379972.45
"iOS","iPad13,19",92,,376839.416667
"Android","rmx3998",81,"mediatek mt6835  mt6835",375573.533333
"Android","cph2467",89,"Qualcomm 695",374639.166667
"Android","cph2681",79,"mediatek mt6835  mt6835",373464.25
"Android","cph2695",81,"mediatek mt6835  mt6835",372131.466667
"Android","v2310",75,"helio p65",372030.783333
"Android","sm-s928n",96,"qualcomm 8 Gen 3",368180.3
"Android","v2403",82,"mediatek mt6878  mt6878",367640.666667
"Android","tecno kl4",65,", ums9230_KL4_go",366658.083333
"Android","infinix x6725",65,,366386.833333
"Android","cph2179",75,"helio p35",366306.833333
"Android","sm-a047f",81,"samsung exynos 850 samsung a04s eur open rev03c board based on exynos850 exynos850",365470.3
"Android","sm-s721b",95,"exynos 2400",362365.7
"iOS","iPhone12,1",-1,,362232
"Android","tecno bf7",67,,358322.016667
"Android","cph2083",75,"helio p35",358286.283333
"Android","cph2477",73,"MT6765G, mt6765",358042.333333
"Android","rmx3834",65,,356180.016667
"Android","v2434",81,"qualcomm 680",353690.85
"Android","sm-s938n",94,"qti sm8750  qcom",353088.15
"Android","redmi note 8",81,"qualcomm technologies, inc trinket qcom",351357.85
"Android","cph2637",81,"mediatek mt6835  mt6835",349265.816667
"Android","m2003j15sc",74,"helio p65",348379.933333
"Android","infinix x6532c",74,"helio p35",348077.65
"Android","sm-e156b",81,"mediatek mt6835  mt6835",347841.133333
"Android","infinix x688b",75,"helio p35",347559.966667
"Android","25028rn03a",65,,346541.366667
"Android","sm-a325f",75,"helio g70",339509.3
"Android","sm-a155f",78,"helio g99",338739.066667
"Android","2409brn2ca",72,", mt6768",337897.116667
"Android","cph2577",75,"helio p65",337781.05
"Android","23076rn4bi",83,"qualcomm 4 Gen 2",334564.6
"Android","cph2495",76,"mediatek 700",334242
"Android","sm-a065m",74,"helio p65",334137.45
"Android","cph2773",86,,333767.9
"Android","v2416",83,"qualcomm 4 Gen 2",331074.116667
"Android","sm-a346e",82,"mediatek 900",330282.916667
"Android","motorola edge 60 fusion",82,"mediatek mt6878  mt6878",329884.116667
